Andaman & Nicobar Islands,Nicobars,Car Nicobar,Car Nicobar Tribal Council,Kinmai,Kinmai,"Small Lapati (Dugwell-2)/Scheme Name: Small Lapati water supply scheme-2,/H110000037",Delivery Point,Central Laboratory / STATE Lab,08/06/2020,155,Nil,Nil,Nil,Nil,9.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.400,Nil,110.000,Nil,Nil,42.000,Nil,Nil,L0033896971,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"MAGAR NALLAH - SOURCE 1/Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/H110000089",Delivery Point,Central Laboratory / STATE Lab,05/10/2020,24,Nil,Nil,Nil,Nil,6.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,45.000,Nil,Nil,16.000,Nil,Nil,L0034312209,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"BABULINE DUGWELL 1/Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 2),/H110000094",Delivery Point,Central Laboratory / STATE Lab,29/10/2020,58,Nil,Nil,Nil,Nil,12.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.300,Nil,130.000,Nil,Nil,69.000,Nil,Nil,L0034882915,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"Coast Guard Public School/Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/H110001613",Delivery Point,Central Laboratory / STATE Lab,21/12/2020,122,0.020,Nil,0.000,0.000,20.000,0.000,Nil,Nil,Nil,Nil,Nil,Nil,7.100,Nil,72.000,20.000,0.000,20.000,Nil,Nil,L0037170909,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"MAGAR NALLAH - SOURCE 2/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/SC110000062",Spring,Central Laboratory / STATE Lab,28/09/2020,19,Nil,Nil,Nil,Nil,5.990,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,50.000,Nil,Nil,17.000,Nil,Nil,L0034312087,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"MAGAR NALLAH - SOURCE 2/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/SC110000062",Spring,Central Laboratory / STATE Lab,09/10/2020,33,Nil,Nil,Nil,Nil,7.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.200,Nil,55.000,Nil,Nil,51.000,Nil,Nil,L0034388369,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"MAGAR NALLAH - SOURCE 1/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/SC110000063",Spring,Central Laboratory / STATE Lab,28/09/2020,19,Nil,Nil,Nil,Nil,6.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.200,Nil,50.000,Nil,Nil,17.000,Nil,Nil,L0034387085,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"MAGAR NALLAH - SOURCE 1/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/SC110000063",Spring,Central Laboratory / STATE Lab,09/10/2020,34,Nil,Nil,Nil,Nil,7.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.300,Nil,60.000,Nil,Nil,52.000,Nil,Nil,L0034388306,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"MAGAR NALLAH - SOURCE 1/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 1),/SC110000063",Spring,Central Laboratory / STATE Lab,05/10/2020,24,Nil,Nil,Nil,Nil,6.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.100,Nil,45.000,Nil,Nil,16.000,Nil,Nil,L0034387393,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"BABULINE DUGWELL 1/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 2),/SC110000065",Openwell,Central Laboratory / STATE Lab,17/11/2020,84,Nil,Nil,Nil,Nil,8.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.200,Nil,90.000,Nil,Nil,32.000,Nil,Nil,L0035215861,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,Campbell Bay,Campbell Bay,"BABULINE DUGWELL 2/ Scheme Name: CAMPBELL BAY WATER SUPPLY (SCHEME 2),/SC110000118",Openwell,Central Laboratory / STATE Lab,29/10/2020,58,Nil,Nil,Nil,Nil,12.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.300,Nil,139.000,Nil,Nil,69.000,Nil,Nil,L0034878007,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Govind Nagar,Govinda Nagar,Govinda Nagar,"Govind Nagar Water Supply/Scheme Name: Govind Nagar Water Supply,/H110000205",Delivery Point,Central Laboratory / STATE Lab,28/10/2020,55,Nil,Nil,Nil,Nil,8.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.100,Nil,115.000,Nil,Nil,53.000,Nil,Nil,L0034876564,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Govind Nagar,Govinda Nagar,Govinda Nagar,"/Scheme Name: Govind Nagar Water Supply,/H110000206",Delivery Point,Central Laboratory / STATE Lab,01/03/2021,374,Nil,Nil,1.000,0.000,100.000,20.000,Nil,Nil,Nil,Nil,Nil,Nil,6.500,Nil,470.000,150.000,0.200,200.000,Nil,Nil,L0036560970,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Govind Nagar,Govinda Nagar,Govinda Nagar,"Govind Nagar Water Supply/ Scheme Name: Govind Nagar Water Supply,/SC110000126",Stream,Central Laboratory / STATE Lab,19/11/2020,52,Nil,Nil,Nil,Nil,7.000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,7.200,Nil,100.000,Nil,Nil,50.000,Nil,Nil,L0034688210,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Laxmi Nagar,Joginder Nagar,Joginder Nagar,"Prem Bahadur Nallah/Scheme Name: JOGINDER NAGAR WATER SUPPLY,/H110000207",Delivery Point,Central Laboratory / STATE Lab,01/03/2021,26,Nil,Nil,Nil,1.000,50.000,20.000,Nil,Nil,Nil,Nil,Nil,Nil,6.600,Nil,228.000,100.000,0.100,40.000,Nil,Nil,L0036561154,0,0
Andaman & Nicobar Islands,Nicobars,Great Nicobar,Laxmi Nagar,Laxmi Nagar,Laxmi Nagar,"LAXMI NAGAR NALLAH/Scheme Name: LAXMI NAGAR WATER SUPPLY,/H110000110",Delivery Point,Central Laboratory / STATE Lab,01/03/2021,27,Nil,Nil,0.500,1.000,50.000,20.000,Nil,Nil,Nil,Nil,Nil,Nil,6.700,Nil,420.000,100.000,0.200,200.000,Nil,Nil,L0036561068,0,0
